epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3466,1.11983,4.35649,0.01229,0,0,0,0,1.29433,5.38239,0.02239,0.000193103,0.000193103,0.0808828
2,85.2801,1.0712,2.29414,0.01165,0,0,0,0,0.99478,4.89532,0.01486,0.000392719,0.000392719,0.0610824
3,129.197,0.88324,1.91467,0.01011,0.18375,0.54152,0.32735,0.25341,0.88037,3.5224,0.0127,0.000590788,0.000590788,0.0412804
4,172.79,0.89224,1.67734,0.01047,0.50486,0.31479,0.39804,0.30948,1.0021,2.14815,0.01687,0.00078615,0.00078615,0.0214758
5,212.302,0.89114,1.49151,0.01024,0.54036,0.50844,0.52785,0.42087,0.84061,1.60452,0.01172,0.000977659,0.000977659,0.00166731
6,252.504,0.85622,1.48197,0.01002,0.43462,0.40168,0.39701,0.31064,0.96408,1.92251,0.01426,0.000975773,0.000975773,0.000975773
7,298.22,0.8672,1.44917,0.01021,0.48572,0.59826,0.5026,0.391,0.9047,1.48441,0.01473,0.000965239,0.000965239,0.000965239
8,344.584,0.83397,1.3601,0.00957,0.45475,0.57524,0.51369,0.40501,0.86116,1.42592,0.01301,0.000952889,0.000952889,0.000952889
9,402.162,0.80628,1.27443,0.00901,0.40335,0.70823,0.52254,0.40878,0.94481,1.28376,0.0141,0.000938772,0.000938772,0.000938772
10,487.507,0.86248,1.38876,0.00982,0.54459,0.61478,0.57636,0.43118,1.0638,1.19905,0.01468,0.000922942,0.000922942,0.000922942
11,571.908,0.81241,1.18717,0.00864,0.41824,0.68342,0.53182,0.4196,0.84864,1.30483,0.01374,0.000905463,0.000905463,0.000905463
12,679.349,0.84629,1.30927,0.00966,0.50416,0.68416,0.59198,0.483,0.80121,1.14137,0.01187,0.000886404,0.000886404,0.000886404
13,802.762,0.84161,1.17377,0.00941,0.49795,0.67714,0.58357,0.50017,0.68221,1.21078,0.00931,0.000865839,0.000865839,0.000865839
14,940.275,0.8403,1.18542,0.01001,0.52607,0.73263,0.60819,0.4947,0.79251,1.13473,0.01126,0.000843851,0.000843851,0.000843851
15,1024.02,0.8664,1.18599,0.00905,0.51369,0.70177,0.6011,0.50186,0.77278,1.15081,0.01215,0.000820525,0.000820525,0.000820525
16,1205.58,0.8172,1.09548,0.0094,0.5399,0.7349,0.60351,0.44876,1.0377,1.28448,0.01544,0.000795954,0.000795954,0.000795954
17,1347.36,0.79029,1.06866,0.00873,0.53476,0.76623,0.59572,0.4716,0.83033,1.12237,0.01241,0.000770234,0.000770234,0.000770234
18,1407.16,0.82535,1.02221,0.00959,0.55039,0.74955,0.65903,0.49613,0.9774,1.09097,0.01411,0.000743468,0.000743468,0.000743468
19,1566.63,0.82467,0.99506,0.00937,0.63238,0.69197,0.68123,0.55518,0.74457,1.05108,0.01032,0.000715761,0.000715761,0.000715761
20,1815.71,0.75539,1.01294,0.00853,0.55342,0.66537,0.60805,0.48175,0.83469,1.24671,0.01199,0.000687222,0.000687222,0.000687222
21,2075.18,0.78591,0.99024,0.00922,0.5594,0.67679,0.62489,0.48703,0.92987,1.11387,0.01379,0.000657963,0.000657963,0.000657963
22,2281.8,0.76417,0.95565,0.00782,0.57166,0.75188,0.6668,0.54267,0.76997,0.99445,0.01137,0.000628101,0.000628101,0.000628101
23,2523.57,0.73688,0.96962,0.00854,0.60504,0.75594,0.70165,0.57383,0.77488,0.95549,0.01122,0.000597754,0.000597754,0.000597754
24,2764.32,0.71892,0.92861,0.00813,0.57953,0.68625,0.64482,0.52237,0.76146,1.08478,0.01183,0.00056704,0.00056704,0.00056704
25,2881.46,0.77333,0.92337,0.00893,0.60033,0.7246,0.69443,0.56997,0.72564,0.95779,0.01039,0.000536081,0.000536081,0.000536081
26,3117.62,0.74465,0.85371,0.00889,0.602,0.77438,0.70154,0.57854,0.75096,0.99597,0.01091,0.000505,0.000505,0.000505
27,3345.86,0.75448,0.88949,0.0084,0.58415,0.69849,0.70659,0.57666,0.77121,0.99773,0.0116,0.000473919,0.000473919,0.000473919
28,3586.9,0.72036,0.81813,0.00797,0.7035,0.66551,0.73457,0.59357,0.8301,0.92374,0.01203,0.00044296,0.00044296,0.00044296
29,3848.39,0.69534,0.84116,0.00789,0.60845,0.79113,0.72934,0.60053,0.78459,0.91679,0.01151,0.000412246,0.000412246,0.000412246
30,3905.62,0.7149,0.84288,0.0085,0.6992,0.71316,0.73215,0.59145,0.84197,0.9099,0.0122,0.000381899,0.000381899,0.000381899
31,4074.2,0.68723,0.76721,0.00747,0.69573,0.72558,0.72704,0.61292,0.68098,0.92036,0.00994,0.000352037,0.000352037,0.000352037
32,4313.81,0.71607,0.78318,0.00772,0.7496,0.71767,0.75015,0.59643,0.83057,0.87363,0.01276,0.000322778,0.000322778,0.000322778
33,4503.8,0.69019,0.75728,0.00777,0.71763,0.71366,0.71371,0.57831,0.77983,0.91234,0.01116,0.000294239,0.000294239,0.000294239
34,4682.8,0.70885,0.74553,0.0081,0.65549,0.76145,0.71667,0.59722,0.69699,0.91687,0.00946,0.000266532,0.000266532,0.000266532
35,4878.28,0.71289,0.80117,0.00795,0.70419,0.70832,0.72551,0.60488,0.72504,0.85952,0.00998,0.000239766,0.000239766,0.000239766
36,5017.36,0.68052,0.72804,0.00724,0.75881,0.72705,0.74873,0.60805,0.80682,0.86415,0.01171,0.000214046,0.000214046,0.000214046
